회차,scene,종류,인물,지문/대사
1,10,지문,,박민철과 최범도는 강태우의 행적을 쫓아 고급 주유소에 도착한다. 그는 거액의 돈을 지불하고 육성품으로 포장된 비싸다는 차를 몰고 나온다.
1,10,대사,박민철,정체불명이군. 이런 걸로 무장을 해? 이건 폭력배급이 아니야.
1,10,지문,,최범도는 주유소의 문양을 보며 충격받는다. 그는 급히 동료에게 연락해 확인하고 전화를 내팽개친다. 얼굴이 새하얗게 질린 그의 말에 박민철의 표정이 굳는다.
1,10,대사,최범도,"이건... 송도파의 문양이야. 강태우가, 강철민의 아들이야. 완전히 잘못 건드렸어."
1,11,scene title,,뉴스 속의 얼굴
1,11,지문,,"텔레비전 뉴스에서 '연쇄 폭행 mimeograph 용의자, 박민철'이라는 자막과 함께 흐릿한 CCTV 화면이 나온다. 송도파는 언론을 동원해 그를 사회악으로 만든다."
1,11,대사,아나운서(목소리),경찰은 해당 용의자가 최근 송도그룹 관려 인물들을 협박하고 폭행한 것으로 보고 있습니다.
1,11,지문,,최범도의 휴대폰으로 사진 한 장이 전송온다. 초등학생으로 보이는 자신의 아들이 학교 앞에서 수상한 남자들에게 둘러싸여 있는 모습이다.
1,11,대사,알 수 없는 번호(문자),"좋은 아버지셨으면 좋겠습니다, 최 관장님. 아버지들에게는 아버지 밖에 안 이해가니까요."
1,12,scene title,,버려진 공장
1,12,지문,,디지털로 조작된 정보를 믿고 공장에 잠입한 박민철과 최범도. 그러나 그곳은 폭력조직이 매복한 함정이었다. 쏟아지는 총알 속에서 그들은 거짓말을 깨닫는다.
1,12,대사,박민철,함정이야! 빠져나가!
1,12,지문,,"탈출하는 과정에서 최범도가 박민철을 밀쳐내며 대신 총에 맞는다. 박민철은 그를 업고 달리지만, 피를 흘리는 최범도는 의식이 흐려져간다."
1,12,대사,최범도,미안... 민철아... 나 혼자... 여기 있을게...
1,13,scene title,,어둠 속의 창고
1,13,지문,,박민철은 송도파의 지리를 이용해 그들의 소굴인 창고 지하에 숨어든다. 그러나 그곳은 구할 수 있는 희망이 없는 완벽한 감옥이었다.
1,13,대사,박민철(절망적으로),어떡하지... 소라... 어떡해야 하지...
1,13,scene title,,죽음의 그림자
1,13,지문,,"어두운 공간에 떨어진 그의 휴대폰 화면에는 사진 한 장이 떠있다. 딸과 함께 찍던 행복한 사진, 그리고 아까 받은 경고 메시지. 그는 모든 것을 포기한 채 주저앉는다."
1,14,scene title,,희미한 울림
1,14,지문,,"절망 속에서 휴대폰이 진동한다. 딸이 예전에 어플을 숨겨 설치해 뒀던 비상 통화. 아주 희미하게, 조직원들의 대화가 들려온다."
1,14,대사,조직원(통화),"보스가 계획 변경했어. 망가진 걸 어차피 버릴 거니까, 보험금 타먹을 겸 처리해."
1,14,지문,,박민철의 눈이 번뜩인다. 그는 최범도와의 전화 통화를 떠옌다. 그는 더 이상 단순한 아버지가 아니다. 불의를 뿌리 뽑겠다고 선언하는 전사로 변신한다.
1,14,대사,박민철,너희가 지켜보기만 해서... 내 아이가 다쳤다. 더는 아무도 지켜보지 않게 만들겠다.
1,15,scene title,,제3의 길
1,15,지문,,박민철은 폭력으로 맞서지 않는다. 그는 조직의 시스템을 역이용한다. 그는 해킹해 조직의 자금 흐름과 정계 인사들의 비리 정보를 폭로할 계획을 세운다.
1,15,대사,박민철,"너희의 돈, 너희의 권력... 너희의 심장이지. 난 그걸 멈출 뿐이다."
1,15,지문,,"국정원의 김 이사관에게 정보의 일부를 유출한다. 개인적인 응징이 아닌, 시스템에 의한 심판을 시작하겠다는 신호였다. 이제 이것은 박민철 혼자의 싸움이 아니게 되었다."
1,16,scene title,,밝은 햇살 아래
1,16,지문,,"한적한 공원. 박민철은 더 이상 딱딱한 수트가 아닌 편안한 차림으로 소파에 앉아있다. 옆에는 회복한 딸 소라가, 그리고 그의 옆에는 지팡이를 짚은 최범도가 앉아있다."
1,16,대사,소라,아빠... 이제 괜찮아?
1,16,지문,,"박민철은 대답 대신 미소를 짓고 손을 내민다. 소라는 그 손을 꼭 잡고, 최범도는 훈훈하게 웃는다. 그는 과거와 싸워 동료도 잃었지만, 딸이라는 세상을 되찾았다."
1,16,대사,박민철(나레이션),나는 여전히 희생자다. 하지만 이제는 내가 지키는 세상이 있는 희생자일 뿐이다.
